epoch,rx_pkts,age_ms,remote_state
1783368052,115,0.7,3
1783368053,229,5.8,3
1783368054,345,2.7,3
1783368055,458,1.5,3
1783368056,571,6.0,3
1783368057,686,1.3,3
1783368058,800,5.4,3
1783368059,914,4.2,3
1783368060,1028,9.5,3
1783368061,1143,4.4,3
1783368062,1257,2.6,3
1783368063,1370,7.5,3
1783368064,1483,1.8,3
1783368065,1598,8.2,3
1783368066,1713,8.2,3
1783368067,1827,6.1,3
1783368068,1942,6.9,3
1783368069,2057,4.0,3
1783368070,2172,1.3,3
1783368071,2286,3.8,3
1783368072,2401,2.7,3
1783368073,2516,0.5,3
1783368074,2631,2.3,3
1783368075,2745,6.0,3
1783368076,2860,3.9,3
1783368077,2974,1.4,3
1783368078,3089,1.4,3
1783368079,3203,4.5,3
1783368080,3317,1.9,3
1783368081,3432,1.3,3
1783368082,3546,4.1,3
1783368083,3659,3.2,3
1783368084,3772,7.4,3
1783368085,3886,8.6,3
1783368086,4000,8.7,3
1783368087,4113,7.8,3
1783368088,4228,1.3,3
1783368089,4341,8.6,3
1783368090,4455,0.3,3
1783368091,4567,5.1,3
1783368092,4681,3.0,3
1783368093,4795,0.7,3
1783368094,4911,0.8,3
1783368095,5003,205.8,1
1783368096,5038,4.1,3
1783368097,5148,6.2,3
1783368098,5180,3.1,1
1783368099,5272,0.7,3
1783368100,5365,4.8,3
1783368101,5479,8.3,3
1783368102,5593,2.3,3
1783368103,5707,8.2,3
1783368104,5821,4.6,3
1783368105,5935,7.3,3
1783368106,6051,3.9,3
1783368107,6166,3.4,3
1783368108,6279,8.8,3
1783368109,6392,6.1,3
1783368110,6507,6.2,3
1783368111,6623,1.4,3
1783368112,6736,6.0,3
1783368113,6852,4.1,3
1783368114,6966,4.6,3
1783368115,7077,4.1,3
1783368116,7191,0.8,3
1783368117,7304,9.1,3
1783368118,7419,7.2,3
1783368119,7532,6.6,3
1783368120,7645,3.5,3
1783368121,7759,5.6,3
1783368122,7873,2.3,3
1783368123,7988,7.3,3
1783368124,8101,7.5,3
1783368125,8214,5.8,3
1783368126,8329,3.0,3
1783368127,8442,4.2,3
1783368128,8556,4.6,3
1783368129,8671,3.9,3
1783368130,8784,8.0,3
1783368131,8897,1.2,3
1783368132,9009,6.4,3
1783368133,9123,3.9,3
1783368134,9238,1.7,3
1783368135,9352,1.8,3
